feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,node_id,is_fraud
0.1213565660682161,0.4875754207390631,0.707167928927248,0.42293645972235827,0.9067417978985036,0.3181464154491508,0.43485006603360243,0.8940751837037769,0.8233130645068659,0.7760613896422767,0.4821626650583043,0.3623008716088464,0.45489557489755605,0.9569818894504795,0.183955907575714,0.9224395539324254,0,0
0.30559558048436763,0.6771365172978987,0.5463245205224331,0.35839512558267184,0.02181592305685187,0.8023443962678793,0.750886692328444,0.7190503153841209,0.9895339637160973,0.2161961022543809,0.2917115858407133,0.03495757674914213,0.197354801062683,0.8164589516534424,0.382988683701025,0.5534490309792237,1,0
0.7625250753669538,0.6327602126788407,0.8489943563697275,0.4734400073024517,0.35028075571383355,0.860822018626533,0.8893153367346496,0.34247867269945687,0.6167369857464483,0.3876895789553608,0.4278801622502617,0.34918581621897404,0.9941196953588396,0.06602870327876076,0.5055376904772266,0.5141829178955623,2,0
0.28665217264539344,0.9930700148309811,0.15235491721577465,0.077071853730036,0.59983365144452,0.23106020499417512,0.16538795602301049,0.7579464645482443,0.5376094405574605,0.10451413554740463,0.8688265051326716,0.8134645934437206,0.1817092255174676,0.5399784459392547,0.3231129977297754,0.5689116026339353,3,0
0.3365876161508542,0.6498241496839162,0.5242103091564853,0.779020197673731,0.8662550910412263,0.9576171178708288,0.26352580240792267,0.756480842196049,0.26923552537918927,0.5976085266398534,0.943003205575002,0.17366282886448603,0.953952048545333,0.8188932006252397,0.7352310332684903,0.2654209852479553,4,0
0.26434058597456955,0.24374277882819484,0.2727911328349293,0.6458950909681384,0.8888813719482156,0.1568325123501232,0.07121555593876916,0.6064069096726193,0.7728198469553131,0.7184201864127112,0.024256156343929525,0.7599054434343482,0.791142014883778,0.8742506869161051,0.7652748546416119,0.5082619071570105,5,0
0.41969957511070677,0.9131538153031626,0.4456428613017278,0.1342608459351584,0.5338413814783036,0.5850236709512864,0.720640591653234,0.21355866055593353,0.14895938825002286,0.9099281345182362,0.8133890013677068,0.021343345227593846,0.8500050831516157,0.5851586409456567,0.4845419763430566,0.39217380500193333,6,0
0.31971154726142126,0.21166534891323252,0.35145937493867685,0.8919702814065075,0.48826770469816494,0.9118746515331954,0.3493151902259344,0.8416202766732116,0.3563564795984838,0.06928541079172124,0.8081897730941502,0.8319498849719678,0.020217579425822918,0.6093964162471514,0.10991655700079106,0.3261986713249029,7,0
0.7981276215699431,0.22783407255116472,0.756811758380718,0.6381475013451233,0.006166711912954925,0.7621603228076749,0.20432008912777655,0.2112587605289048,0.34004671240244433,0.19532830398410495,0.9615283973809892,0.20810987366058797,0.19725965481606367,0.6372270314319699,0.436689128116863,0.17589425119640012,8,0
0.9630490069173662,0.8178748372853365,0.820470408352577,0.2764756855408981,0.4196535252173905,0.4034909795709577,0.9379279472275964,0.22300209832862217,0.9763682227841619,0.14237969435269648,0.7502208889141884,0.1541365436718508,0.8205781847418705,0.7388349951132293,0.21876159063674883,0.6932657748058116,9,0
